albeit	@lbixt
apartheid	xpart-e-t
atheism	eT-iIzM
atheist	eT-ixst
atheistic	eT-iIstIk
aweigh	xwe---
beige	be-Z-
being	biIG-
blueing	bluI-G-
caffeine	k@f-i-n-
casein	kesi-n
ceiling	si-lIG-
codeine	kodi-n-
coheir	koE--r
conceit	kxnsi-t
conceive	kxnsi-v-
counterfeit	kW-nt-RfI-t
cruzeiro	krUze-ro
cuneiform	kYnixfcrm
deadweight	dE-dwe---t
deceive	dIsi-v-
deice	diAs-
deification	dixfxkeS-xn
deify	dixfA
deign	de--n
deism	diIzM
deistic	diIstIk
deity	dixti
edelweiss	ed-LwA-s-
eider	A-d-R
eidolon	A-dolxn
eight	e---t
eighteen	e---ti-n
eighth	e---T-
eighty	e---ti
einsteinium	A-nstA-nixm
eisteddfod	A-stED-vcd
either	i-D--R
fahrenheit	f@-rxnhA-t
farseeing	farsiI-G-
feign	fe--n
feint	fe-nt
foreign	fcrx--n
forfeit	fcrfx-t
forfeiture	fcrfx-CUr-
frankenstein	fr@GkxnstA-n
freight	fre---t
geisha	ge-S-x
gesundheit	gxzUnthA-t
gneiss	-nA-s-
heavyweight	hE-viwe---t
heifer	hE-f-R
height	hA---t
heighten	hA---t-N
heinous	he-nx-s
heir	E--r
heiress	E--rxs-
heirloom	E--rlu-m
heist	hA-st
herein	hIr-In
howbeit	hW-bixt
inveigh	Inve---
inveigle	Inve-gL-
kaleidoscope	kxlA-dxskop-
kaleidoscopic	kxlA-dxskapIk
lei	le-
lei	lei
leisure	li-Z-R-
leitmotif	lA-tmotif
madeira	mxdI-rx
messeigneurs	mes-e--ny-Rz
middleweight	mId-L-we---t
misconceive	mIskxnsi-v-
monotheism	manxT-iIzM
mullein	m^l-x-n
neigh	ne---
neighbor	ne---b-R
neighboring	ne---bxrIG-
neither	ni-D--R
nereid	nIrixd
nisei	nise-
nonpareil	nanpxrE-l
obeisance	obe-sxns-
pantheism	p@nT-iIzM
pantheistic	p@nT-iIstIk
peignoir	pe--n+-r
pennyweight	pEn-iwe---t
perceive	p-Rsi-v-
plebeian	plIbi-xn
poltergeist	polt-RgA-st
polytheism	palIT-iIzM
polytheistic	palIT-iIstIk
preconceive	prikxnsi-v-
protein	proti-n
receipt	rIsi--t
receivable	rIsi-vxbL-
receive	rIsi-v-
reign	re--n
reimburse	rixmb-Rs-
rein	re-n
reincarnate	riInkarnet-
reincarnation	riInkarneS-xn
reindeer	re-ndI-r
reinforce	rixnfors-
reinstate	rixnstet-
reiterate	riItxret-
reveille	rEvx-l-i
seigneur	se--ny-R
seine	se-n-
seismic	sA-zmIk
seismographic	sA-zmxgr@f-Ik
seize	si-z-
seizure	si-Z-R-
sheikh	S-i-k-
skein	ske-n
sleigh	sle---
sleight	slA---t
sovereign	savxrx--n
spontaneity	spantxnixti
stein	stA-n
surfeit	s-Rfx-t
surveillance	s-Rve-l-xns-
their	D-E-r
theirs	D-E-rz
theism	T-iIzM
theistic	T-iIstIk
therein	D-ErI-n
undeceive	xndIsi-v-
underweight	xnd-Rwe---t
veil	ve-l
veiling	ve-lIG-
vein	ve-n
veined	ve-n-d
velleity	vEl-ixti
vermeil	v-Rmx-l
villein	vIl-x-n
weigh	we---
weight	we---t
weir	wE-r
weird	wI-rd
welterweight	wElt-Rwe---t
wherein	*-Er-In
zeitgeist	!A-tgA-st
