achieve	xC-i-v-
acquiesce	@k-wiEs--
adieu	xdY--
aerie	E-ri-
afield	xfi-ld
aggrieve	xg-ri-v-
alien	elixn
alienable	elyxnxbL-
alienation	elixneS-xn
alienist	elixnxst
allied	xl-A-d
ambient	@mbixnt
amplifier	@mplxfA-R
ancient	enS-xnt
anxiety	@GzAxti
apiece	xpi-s-
applied	xp-lA-d
archfiend	arC-fi-nd
archiepiscopal	ark-ixpIskxp-L
aries	@riiz
atelier	@t-Lye-
audience	c-dixns-
backfield	b@k-fi-ld
ballcarrier	bcl-k@r-i-R
barrier	b@r-i-R
beanie	bi-ni-
befriend	bIfr-End
belie	bIlA-
belief	bxli-f
believe	bxli-v-
besiege	bIsi-J-
biennial	bAEn-i-L
bier	bI-r
birdie	b-Rdi-
blitzkrieg	blItskri-g
boccie	baC-i-
bogie	bUgi-
bombardier	bamb-RdI-r
bonhomie	ban-xmi-
bonnie	ban-i-
bootie	bu-ti-
bourgeoisie	bU-rZ-+-zi-
boutonniere	bu-t-N-I-r-
brassiere	brxz-I-r-
brazier	breZx-r
brief	bri-f
brownie	brW-ni-
cabbie	k@b-i-
calorie	k@lxri-
camaraderie	k@mxradxri-
candied	k@ndi-d
carabinier	k@rxbxnI-r
caries	k@ri-z
carrier	k@r-i-R
cashier	k@S-I-r
cavalier	k@vxlI-r
chandelier	S-@ndxlI-r
chesterfield	C-Est-Rfi-ld
chevalier	S-EvxlI-r
chief	C-i-f
chieftain	C-i-ftx-n
chiffonier	S-If-xnI-r
classified	kl@s-xfA-d
clavier	klxvI-r
client	klAxnt
clientele	klAxntEl-
clothier	kloD-y-R
coalfield	ko-lfi-ld
cockatiel	kak-xti-l
coefficient	koxf-ISx-nt
collie	kal-i-
collier	kal-y-R
congeries	kanJxri-z
conscience	kanS-x-ns-
conscientious	kanS-iEnC-x-s
contrariety	kantrxrAxti
convenience	kxnvinyxns-
coolie	ku-li-
cootie	ku-ti-
costumier	kastYmi-R
coterie	kotxri-
countryfied	kx-ntrIfA-d
courier	kU-ri-R
courtier	ko-rti-R
crier	krA-R
crosier	kroZ--R
crosspiece	krcs-pi-s-
croupier	kru-pi-R
debrief	dIbri-f
deficient	dIfISx-nt
denier	dEny-R
derriere	dEr-iEr-
die	dA-
dielectric	dAxlEktrIk
dies	dA-z
diet	dAxt
dietary	dAxtEri
dietetics	dAxtEtIks
dignified	dIgnxfA-d
disbelieve	dIsbIli-v-
disobedience	dIsxbidixns-
disquiet	dIskwAxt
disquietude	dIskwAxtYd-
dominie	damxni-
dossier	dcs-ye-
ebullient	IbUl-Ixnt
emollient	Imal-yxnt
emulsifier	Im^lsxfA-R
equestrienne	IkwEstriEn--
espalier	Isp@ly-R
exequies	EXxkwi-z
expediency	IXpidixnsi
experience	IXpIrixns-
eyrie	A-ri-
faience	fe-ans-
fancier	f@nsi-R
farrier	f@r-i-R
fie	fA-
fief	fi-f
field	fi-ld
fieldpiece	fi-ldpi-s-
fiend	fi-nd
fierce	fI-rs-
fiery	fAxri
fiesta	fiEstx
financier	fInxnsI-r
flier	flA-R
friedcake	frA-dkek-
friend	fr-End
frieze	fri-z-
frontier	fr^ntI-r
frontispiece	frxntxspi-s-
furrier	f-R-i-R
gaiety	gex-ti
gaucherie	go-S-xri-
gendarmerie	Jandarmxri-
genie	Jini-
glacier	gleS--R
